"RepoName","RepoPath","MarkdownFileCount","ActiveDocCount","ArchiveDocCount","GeneratedDocCount","HasReadme","HasDocsFolder","HasContributing","HasDocsIndex","PriorityScore","PriorityBand","ReviewMode","GitLastCommitDate","GitBranch","GitUncommittedChanges","DocQualityHints","DocCategories","KeyDocs"
"SystemDashboard","G:\Development\20_Staging\SystemDashboard","81","53","27","0","True","True","True","False","90","High","Full-doc pass",,,"0","contains-risk-markers, duplicate-setup-docs","architecture, changelog, contributing, general, readme, reference, roadmap, setup, troubleshooting","docs\API-REFERENCE.md; docs\ARCHITECTURE.md; docs\CONTRIBUTING.md; docs\FAQ.md; docs\observability-pack-v1-design.md; docs\README.md; docs\ROADMAP-QUICK-REFERENCE.md; docs\screenshots\README.md; docs\SECURITY-SETUP.md; docs\SETUP.md; docs\TROUBLESHOOTING.md; migrations\README.md; README.md"
"AIToolbox","G:\Development\20_Staging\AIToolbox","61","59","0","0","True","True","True","False","90","High","Full-doc pass",,,"0","contains-risk-markers","architecture, changelog, contributing, general, readme, reference, setup, troubleshooting","CONTRIBUTING.md; docs\adr\0001-use-fastapi.md; docs\adr\0005-multi-agent-architecture.md; docs\api-reference.md; docs\architecture.md; docs\contributing.md; docs\development\architecture-deep-dive.md; docs\development\setup.md; docs\FAQ.md; docs\mcp\README.md; docs\PromptAsCode\PROMPT_CHAIN_QUICK_REFERENCE.md; docs\README.md; README.md"
"UnifiedAIToolbox","G:\Development\20_Staging\UnifiedAIToolbox","217","64","118","33","True","True","True","True","80","High","Archive cleanup first",,,"0","contains-risk-markers, duplicate-setup-docs","architecture, changelog, contributing, docs-index, general, readme, roadmap, runbook, setup","apps\orchestration-bridge\MERGE_COORDINATOR_RUNBOOK.md; apps\orchestration-bridge\README.md; apps\orchestration-bridge\TASK_EXECUTOR_RUNBOOK.md; apps\unifiedtoolbox.webapp\docs\information-architecture.md; apps\unifiedtoolbox.webapp\README.md; docs\index.md; docs\mcp\README.md; docs\README.md; docs\Unified-AI-Toolbox-Architecture.md; modules\GitHubRepoManager\README.md; Orchestration\Goals\README.md; Orchestration\README.md; packages\prompt-registry\README.md; project files\branding\README.md; prompts\README.md; README.md; scripts\README.md; scripts\swarms\CONTRIBUTING.md; scripts\swarms\docs\index.md; scripts\swarms\docs\quickstart.md; scripts\swarms\README.md; scripts\swarms\tests\README.md; templates\ci-cd-blueprint\README.md; Unified-AI-Toolbox-Architecture.md"
"ElasticSearch-1","G:\Development\20_Staging\ElasticSearch-1","14","11","1","0","True","True","False","False","65","High","Full-doc pass",,,"0","","general, readme, setup, troubleshooting","agents\genesys_troubleshooter\README.md; agents\genesys_troubleshooter\system_prompt.md; agents\platform_monitor\README.md; agents\snow_incident_formatter\README.md; docs\02_agent_setup.md; kibana\README.md; README.md"
"FowlingScorecard","G:\Development\20_Staging\FowlingScorecard","22","19","0","2","True","True","False","False","55","High","Full-doc pass",,,"0","contains-risk-markers","general, readme, runbook, setup","docs\README.md; prototype-v1\README.md; QUICKSTART.md; README.md; THURSDAY_LEAGUE_PLAYBOOK.md"
"GenesysCloudAuditor","G:\Development\20_Staging\GenesysCloudAuditor","14","14","0","0","True","True","False","False","55","High","Full-doc pass",,,"0","vague-md-names","general, readme, setup","docs\setup_required_scopes_configuration_running_audits_interpreting_report_e7b551af.md; README.md"
"SampleDashboardReact","G:\Development\20_Staging\SampleDashboardReact","3","3","0","0","True","True","False","False","45","High","Core-docs batch",,,"0","","general, readme","README.md"
"AI-Orchestration","G:\Development\20_Staging\AI-Orchestration","19","19","0","0","True","False","False","False","40","High","Needs taxonomy before rewrite",,,"0","no-docs-folder-many-md, duplicate-setup-docs","general, readme, setup","DEPLOYMENT_QUICKSTART.md; GITHUB_PAGES_SETUP.md; MilestoneDashboard\README.md; QUICKSTART.md; README.md"
"GitHubRepoManagerDashboard","G:\Development\20_Staging\GitHubRepoManagerDashboard","13","11","1","0","True","False","False","False","40","High","Needs taxonomy before rewrite",,,"0","no-docs-folder-many-md, contains-risk-markers","architecture, general, readme, reference","API_REFERENCE.md; ARCHITECTURE.md; backend\README.md; powerbi\README.md; README.md"
"AI_PromptRefiner_GUI","G:\Development\20_Staging\AI_PromptRefiner_GUI","5","5","0","0","True","False","False","False","40","High","Core-docs batch",,,"0","","changelog, general, readme, setup","GITHUB_SETUP.md; README.md"
