"RepoName","RepoPath","MarkdownFileCount","ActiveDocCount","ArchiveDocCount","GeneratedDocCount","HasReadme","HasDocsFolder","HasContributing","HasDocsIndex","PriorityScore","PriorityBand","ReviewMode","GitLastCommitDate","GitBranch","GitUncommittedChanges","DocQualityHints","DocCategories","KeyDocs"
"AIToolbox","G:\Development\20_Staging\AIToolbox","61","59","0","0","True","True","True","False","90","High","Full-doc pass","2026-02-18 01:37:50 -0500","main","5","contains-risk-markers","architecture, changelog, contributing, general, readme, reference, setup, troubleshooting","CONTRIBUTING.md; docs\adr\0001-use-fastapi.md; docs\adr\0005-multi-agent-architecture.md; docs\api-reference.md; docs\architecture.md; docs\contributing.md; docs\development\architecture-deep-dive.md; docs\development\setup.md; docs\FAQ.md; docs\mcp\README.md; docs\PromptAsCode\PROMPT_CHAIN_QUICK_REFERENCE.md; docs\README.md; README.md"
"SystemDashboard","G:\Development\20_Staging\SystemDashboard","59","53","5","0","True","True","True","False","90","High","Full-doc pass","2026-02-14 01:34:31 -0500","main","97","contains-risk-markers, duplicate-setup-docs","architecture, changelog, contributing, general, readme, reference, roadmap, setup, troubleshooting","docs\API-REFERENCE.md; docs\ARCHITECTURE.md; docs\CONTRIBUTING.md; docs\FAQ.md; docs\observability-pack-v1-design.md; docs\README.md; docs\ROADMAP-QUICK-REFERENCE.md; docs\screenshots\README.md; docs\SECURITY-SETUP.md; docs\SETUP.md; docs\TROUBLESHOOTING.md; migrations\README.md; README.md"
"UnifiedAIToolbox","G:\Development\20_Staging\UnifiedAIToolbox","101","52","30","17","True","True","True","True","70","High","Full-doc pass","2026-03-14 02:36:12 -0400","main","3","contains-risk-markers","architecture, changelog, contributing, docs-index, general, readme, roadmap, runbook, setup","apps\orchestration-bridge\MERGE_COORDINATOR_RUNBOOK.md; apps\orchestration-bridge\README.md; apps\orchestration-bridge\TASK_EXECUTOR_RUNBOOK.md; apps\unifiedtoolbox.webapp\README.md; docs\index.md; docs\mcp\README.md; docs\README.md; docs\Unified-AI-Toolbox-Architecture.md; modules\GitHubRepoManager\README.md; Orchestration\Goals\README.md; Orchestration\README.md; packages\prompt-registry\README.md; project files\branding\README.md; prompts\README.md; README.md; scripts\README.md; scripts\swarms\CONTRIBUTING.md; scripts\swarms\README.md; templates\ci-cd-blueprint\README.md; Unified-AI-Toolbox-Architecture.md"
"GenesysCloudAuditor","G:\Development\20_Staging\GenesysCloudAuditor","35","24","0","11","True","True","False","False","70","High","Full-doc pass","2026-03-18 12:34:23 -0400","main","16","vague-md-names, contains-risk-markers","architecture, general, readme, reference, roadmap, setup","docs\application-architecture.md; docs\architecture.md; docs\oauth-and-api-resilience.md; docs\README.md; docs\setup-and-operations.md; QuickStart.md; README.md"
"ElasticSearch-1","G:\Development\20_Staging\ElasticSearch-1","14","11","1","0","True","True","False","False","65","High","Full-doc pass","2026-02-26 12:27:00 -0500","main","0","","general, readme, setup, troubleshooting","agents\genesys_troubleshooter\README.md; agents\genesys_troubleshooter\system_prompt.md; agents\platform_monitor\README.md; agents\snow_incident_formatter\README.md; docs\02_agent_setup.md; kibana\README.md; README.md"
"FowlingScorecard","G:\Development\20_Staging\FowlingScorecard","22","19","0","2","True","True","False","False","55","High","Full-doc pass","2026-02-27 00:01:31 -0500","main","3","contains-risk-markers","general, readme, runbook, setup","docs\README.md; prototype-v1\README.md; QUICKSTART.md; README.md; THURSDAY_LEAGUE_PLAYBOOK.md"
"Genesys.Core","G:\Development\20_Staging\Genesys.Core","28","28","0","0","True","True","False","False","50","High","Full-doc pass","2026-03-17 23:50:37 -0400","main","0","","architecture, changelog, general, readme, roadmap","apps\AuditLogsConsole\Architecture.md; apps\AuditLogsConsole\README.md; apps\ConversationAnalysis\README.md; README.md"
"SampleDashboardReact","G:\Development\20_Staging\SampleDashboardReact","3","3","0","0","True","True","False","False","45","High","Core-docs batch","2025-11-04 19:38:48 -0500","main","2","","general, readme","README.md"
"AI-Orchestration","G:\Development\20_Staging\AI-Orchestration","19","19","0","0","True","False","False","False","40","High","Needs taxonomy before rewrite","2025-10-26 22:29:50 -0400","React/Vite-Dashboard","31","no-docs-folder-many-md, duplicate-setup-docs","general, readme, setup","DEPLOYMENT_QUICKSTART.md; GITHUB_PAGES_SETUP.md; MilestoneDashboard\README.md; QUICKSTART.md; README.md"
"SereneHarmony_Site_Starter","G:\Development\20_Staging\SereneHarmony_Site_Starter","8","8","0","0","True","False","False","False","40","High","Core-docs batch","2026-03-12 18:28:27 -0400","main","0","no-docs-folder-many-md","general, readme, setup","custom_SereneHarmonySite\FORM_SETUP.md; custom_SereneHarmonySite\README.md; README.md"
"Genesys.Core.ConversationalAnalytics","G:\Development\20_Staging\Genesys.Core.ConversationalAnalytics","6","6","0","0","True","False","False","False","40","High","Core-docs batch","2026-03-17 23:53:01 -0400","main","0","no-docs-folder-many-md, contains-risk-markers","architecture, general, readme","Database_Design.md; README.md"
"Genesys.Core.Convo_v2","G:\Development\20_Staging\Genesys.Core.Convo_v2","6","6","0","0","True","False","False","False","40","High","Core-docs batch","2026-03-18 09:53:19 -0400","main","2","no-docs-folder-many-md, contains-risk-markers","architecture, general, readme","Database_Design.md; README.md"
"AI_PromptRefiner_GUI","G:\Development\20_Staging\AI_PromptRefiner_GUI","5","5","0","0","True","False","False","False","40","High","Core-docs batch","2025-09-27 12:40:28 -0400","main","2","","changelog, general, readme, setup","GITHUB_SETUP.md; README.md"
"PromptRefiner_GUI","G:\Development\20_Staging\PromptRefiner_GUI","5","5","0","0","True","False","False","False","40","High","Core-docs batch","2025-09-27 12:40:28 -0400","main","2","","changelog, general, readme, setup","GITHUB_SETUP.md; README.md"
"OpenAI_Refiner","G:\Development\20_Staging\OpenAI_Refiner","1","1","0","0","True","True","False","False","35","Medium","README-only","2026-02-10 00:59:38 -0500","main","3","","readme","README.md"
"OpsWorkbench","G:\Development\20_Staging\OpsWorkbench","1","1","0","0","True","True","False","False","35","Medium","README-only","2025-12-25 20:43:40 -0500","main","1","","readme","README.md"
"2026MiddleEastWar","G:\Development\20_Staging\2026MiddleEastWar","9","8","0","0","True","False","False","False","30","Medium","Core-docs batch","2026-03-07 21:51:53 -0500","main","2","no-docs-folder-many-md","general, readme, runbook","logs\README.md; outputs\neighborhood_runbook.md; README.md"
"quickstart-resources","G:\Development\20_Staging\quickstart-resources","6","6","0","0","True","False","False","False","30","Medium","Core-docs batch","2025-10-07 14:13:48 +0100","main","2","no-docs-folder-many-md","readme","mcp-client-python\README.md; mcp-client-typescript\README.md; README.md; weather-server-python\README.md; weather-server-rust\README.md; weather-server-typescript\README.md"
"Ideal-Prompt-Library","G:\Development\20_Staging\Ideal-Prompt-Library","5","5","0","0","True","False","False","False","30","Medium","Core-docs batch","2026-03-08 23:24:29 -0400","main","2","","changelog, general, readme","README.md"
"DataExtraction","G:\Development\20_Staging\DataExtraction","4","4","0","0","True","False","False","False","30","Medium","Core-docs batch","2025-09-27 11:29:41 -0400","main","0","","general, readme","README.md"
"GeminiAIOrchestrator","G:\Development\20_Staging\GeminiAIOrchestrator","3","3","0","0","True","False","False","False","30","Medium","Core-docs batch","2025-10-25 20:46:35 -0400","main","0","","general, readme","README.md"
"2025-09-11-System-Dashboard","G:\Development\20_Staging\2025-09-11-System-Dashboard","1","1","0","0","True","False","False","False","20","Medium","README-only","2026-03-09 04:01:14 -0400","main","1","","readme","README.md"
"NetworkTracker","G:\Development\20_Staging\NetworkTracker","1","1","0","0","True","False","False","False","20","Medium","README-only","2026-02-22 07:30:13 -0500","main","1","","readme","README.md"
"SnapGoal","G:\Development\20_Staging\SnapGoal","1","1","0","0","True","False","False","False","20","Medium","README-only","2024-03-14 23:28:56 -0400","main","0","","readme","README.md"
